0,1,2,3,4,5,6,7,8,9,10
72,36,22,5,17,72,1016,5,3,2,3
68,36,14,6,6,68,1012,5,4,5,3
60,35,13,7,12,66,1008,5,1,2,4
58,35,6,0,5,70,1016,4,2,5,1
54,36,21,8,24,81,1012,5,3,3,2
68,37,20,8,9,53,1006,2,4,5,4
73,35,11,0,14,65,1005,1,4,4,5
55,35,14,7,11,83,1015,2,2,2,2
56,35,23,6,16,79,1021,3,2,2,0
51,35,12,1,1,68,1005,2,5,0,5
70,36,4,7,8,80,1022,1,4,0,0
60,36,24,0,3,66,1010,5,2,5,0
62,39,23,0,12,71,1006,3,4,4,2
53,38,2,7,2,76,1012,4,3,3,5
54,35,14,0,1,63,1024,5,1,0,2
68,38,8,4,22,50,1002,5,3,1,3
50,37,24,1,16,55,1006,4,1,1,3
72,35,19,4,6,50,1001,1,5,2,4
57,37,6,1,11,58,998,5,3,0,5
70,36,21,9,2,53,1023,1,4,2,5
56,37,16,7,13,73,1024,2,1,5,3
67,35,9,4,20,80,1001,2,5,2,3
71,37,8,2,9,52,1000,4,3,3,5
53,38,18,6,18,83,1018,1,5,3,5
71,35,21,3,10,57,998,5,1,3,5
75,37,23,4,8,55,1000,5,4,1,3
54,38,10,1,1,58,1010,5,3,0,4
70,36,24,3,7,55,1013,4,5,5,3
55,38,5,5,15,68,1001,1,4,2,4
73,36,20,0,20,78,1006,5,3,3,5
60,36,16,8,23,57,1017,4,2,0,4
54,38,10,2,12,73,1002,5,1,3,5
68,35,15,1,17,74,999,1,2,5,3
75,36,20,8,11,61,1016,2,3,5,5
64,38,14,4,12,61,1012,5,3,0,5
64,39,19,0,0,58,999,1,4,2,2
60,35,12,7,8,63,1008,4,3,4,0
70,37,18,1,21,63,1014,2,1,0,2
